zf_gene_id;zf11_gene;mouse_gene;zf10_gene
ENSDARG00000095863;afp4;Apoa2;afp4
ENSDARG00000060682;agr1;Agr3;agr1
ENSDARG00000036239;gatm;Gatm;gatm
ENSDARG00000035891;acana;Acan;acana
ENSDARG00000030020;agfg1a;Agfg1;agfg1a
ENSDARG00000103811;agla;Agl;agla
ENSDARG00000104138;igfbp7;Igfbp7;igfbp7
ENSDARG00000092644;ago1;Ago1;ago1
ENSDARG00000061268;ago2;Ago2;ago2
ENSDARG00000059888;ago3a;Ago3;ENSDARG00000059888
ENSDARG00000063079;ago3b;Ago3;ago3b
ENSDARG00000100854;ago4;Ago4;ago4
ENSDARG00000019897;gpat4;Gpat4;gpat4
ENSDARG00000016048;gpat3;Gpat3;gpat3
ENSDARG00000079388;agrn;Agrn;agrn
ENSDARG00000069089;agrp;Agrp;agrp
ENSDARG00000018616;agtr1a;Agtr1a;agtr1a
ENSDARG00000002172;aplnra;Aplnr;aplnra
ENSDARG00000036670;aplnrb;Aplnr;aplnrb
ENSDARG00000018478;agxtb;Agxt;agxtb
ENSDARG00000035544;etnppl;Etnppl;etnppl
ENSDARG00000052099;agxta;Agxt;agxta
ENSDARG00000039343;ahcyl2b;Ahcyl2;ahcyl2
ENSDARG00000020046;ahr1a;Ahr;ahr1a
ENSDARG00000023537;ahr1b;Ahr;ahr1b
ENSDARG00000052618;ahrrb;Ahrr;ahrrb
ENSDARG00000099702;ahrra;Ahrr;CABZ01103755.1
ENSDARG00000028664;ahsa1a;Ahsa1;ahsa1a
ENSDARG00000100317;ahsa1b;Ahsa1;ahsa1b
ENSDARG00000026764;ahsg1;Ahsg;ahsg1
ENSDARG00000041502;tgfb1a;Tgfb1;tgfb1a
ENSDARG00000058806;naxe;Naxe;apoa1bp
ENSDARG00000061692;yjefn3;Yjefn3;yjefn3
ENSDARG00000015734;aicda;Aicda;aicda
ENSDARG00000058088;aifm1;Aifm1;aifm1
ENSDARG00000009336;aif1l;Aif1l;aif1l
ENSDARG00000002593;slc45a2;Slc45a2;slc45a2
ENSDARG00000031782;crybg1a;Crybg1;aim1a
ENSDARG00000060036;aimp1a;Aimp1;aimp1
ENSDARG00000075067;aipl1;Aipl1;aipl1
ENSDARG00000040730;wdr75;Wdr75;wdr75
ENSDARG00000007217;wdr55;Wdr55;wdr55
ENSDARG00000058226;ak3;Ak3;ak3
ENSDARG00000006546;ak4;Ak4;ak4
ENSDARG00000019001;ak7a;Ak7;ak7a
ENSDARG00000006062;akap1b;Akap1;akap1b
ENSDARG00000055678;akap12b;Akap12;akap12b
ENSDARG00000021913;ak9;Ak9;ak9
ENSDARG00000010478;hsp90aa1.1;Hsp90aa1;hsp90aa1.1
ENSDARG00000035257;akr1a1a;Akr1a1;akr1a1a
ENSDARG00000006215;akr1b1.1;Akr1b1;akr1b1
ENSDARG00000098625;efna5b;Efna5;efna5b
ENSDARG00000038643;alas2;Alas2;alas2
ENSDARG00000021059;alas1;Alas1;alas1
ENSDARG00000026531;alcama;Alcam;alcama
ENSDARG00000028087;aldh2.2;Aldh2;aldh2.2
ENSDARG00000089924;aldh2.1;Aldh2;aldh2.1
ENSDARG00000028259;aldh3a2a;Aldh3a2;aldh3a2a
ENSDARG00000013839;aldh3b1;Aldh3b1;aldh3b1
ENSDARG00000037061;aldh9a1b;Aldh9a1;aldh9a1b
ENSDARG00000069100;aldh9a1a.1;Aldh9a1;aldh9a1a.1
ENSDARG00000011665;aldoaa;Aldoart2;aldoaa
ENSDARG00000019702;aldocb;Aldoc;aldocb
ENSDARG00000057661;aldoca;Aldoc;aldoca
ENSDARG00000012390;kcnk5b;Kcnk5;kcnk5b
ENSDARG00000060282;rnf121;Rnf121;rnf121
ENSDARG00000004785;cops2;Cops2;cops2
ENSDARG00000018179;acvrl1;Acvrl1;acvrl1
ENSDARG00000019728;bmpr1aa;Bmpr1a;bmpr1aa
ENSDARG00000105045;bmpr1ab;Bmpr1a;bmpr1ab
ENSDARG00000017494;tgfbr1a;Tgfbr1;tgfbr1a
ENSDARG00000042259;tgfbr1b;Tgfbr1;tgfbr1b
ENSDARG00000104100;bmpr1ba;Bmpr1b;bmpr1ba
ENSDARG00000102742;bmpr1bb;Bmpr1b;bmpr1bb
ENSDARG00000098432;paf1;Paf1;paf1
ENSDARG00000068365;lmx1bb;Lmx1b;lmx1bb
ENSDARG00000069463;alox12;Alox12;alox12
ENSDARG00000016789;zgc:152891;Alox8;zgc:152891
ENSDARG00000057273;alox5a;Alox5;alox5a
ENSDARG00000014248;pdlim3b;Pdlim3;pdlim3b
ENSDARG00000015546;alpl;Alpl;alpl
ENSDARG00000068503;gbgt1l4;Gbgt1;gbgt1l4
ENSDARG00000012405;col1a1a;Col1a1;col1a1a
ENSDARG00000020007;col1a2;Col1a2;col1a2
ENSDARG00000019231;sptan1;Sptan1;spna2
ENSDARG00000035809;col1a1b;Col1a1;col1a1b
ENSDARG00000103702;si:busm1-194e12.8;H2-Aa;si:busm1-194e12.8
ENSDARG00000103716;mhc2dga;H2-Aa;si:busm1-48c11.3
ENSDARG00000101735;chn1;Chn1;chn1
ENSDARG00000020405;napab;Napa;napab
ENSDARG00000067605;napaa;Napa;napaa
ENSDARG00000045142;hbae5;Hba-x;hbae5
ENSDARG00000015273;alpi.1;Alpi;alpi.1
ENSDARG00000011023;pdlim3a;Pdlim3;pdlim3a
ENSDARG00000070061;gfer;Gfer;gfer
ENSDARG00000075111;als2a;Als2;als2a
ENSDARG00000041735;tmem237a;Tmem237;tmem237a
ENSDARG00000074248;tmem237b;Tmem237;tmem237b
ENSDARG00000019950;carf;Carf;carf
ENSDARG00000005574;vsx2;Vsx2;vsx2
ENSDARG00000088332;alx4a;Alx4;alx4a
ENSDARG00000075441;vwa2;Vwa2;vwa2
ENSDARG00000004296;ambp;Ambp;ambp
ENSDARG00000020218;amfra;Amfr;amfr
ENSDARG00000090637;myh6;Myh6;myh6
ENSDARG00000087646;runx1;Runx1;runx1
ENSDARG00000061923;amotl2a;Amotl2;amotl2a
ENSDARG00000029952;ampd2b;Ampd2;ampd2b
ENSDARG00000032469;ampd3b;Ampd3;ampd3b
ENSDARG00000060596;prkaa1;Prkaa1;prkaa1
ENSDARG00000060641;prkaa2;Prkaa2;prkaa2
ENSDARG00000054355;dcaf7;Dcaf7;dcaf7
ENSDARG00000015998;wdhd1;Wdhd1;wdhd1
ENSDARG00000052960;nppa;Nppa;nppa
ENSDARG00000030364;angpt1;Angpt1;angpt1
ENSDARG00000053906;angpt2b;Angpt2;angpt2b
ENSDARG00000062016;vps51;Vps51;vps51
ENSDARG00000012071;angptl1a;Angptl1;angptl1a
ENSDARG00000068369;angptl2b;Angptl2;angptl2b
ENSDARG00000059093;ank1a;Ank1;ENSDARG00000059093
ENSDARG00000092143;ank1a;Ank1;ank1a
ENSDARG00000043313;ank2b;Ank2;ank2b
ENSDARG00000014969;ankhb;Ank;ankhb
ENSDARG00000060768;ankib1a;Ankib1;ankib1a
ENSDARG00000037100;ankrd10a;Ankrd10;ankrd10a
ENSDARG00000061901;ankrd13a;Ankrd13a;ankrd13a
ENSDARG00000009023;ankrd28b;Ankrd28;ankrd28b
ENSDARG00000079125;sowahab;Sowaha;sowahab
ENSDARG00000015780;ankrd46b;Ankrd46;ankrd46b
ENSDARG00000036826;ankrd52a;Ankrd52;ankrd52a
ENSDARG00000087152;sowahd;Sowahd;sowahd
ENSDARG00000019135;ankef1a;Ankef1;ankef1a
ENSDARG00000029370;ankrd6b;Ankrd6;ankrd6b
ENSDARG00000002403;nusap1;Nusap1;nusap1
ENSDARG00000102335;ano1a;Ano1;ano1
ENSDARG00000057736;ano10a;Ano10;ano10a
ENSDARG00000101363;ano2b;Ano2;ano2
ENSDARG00000103878;anpepb.1;Anpep;anpepb
ENSDARG00000041083;anpeplb;Anpep;anpepa
ENSDARG00000042684;serpinc1;Serpinc1;serpinc1
ENSDARG00000019920;lft1;Lefty1;lft1
ENSDARG00000063612;antxr1c;Antxr1;antxr1c
ENSDARG00000076703;zfand4;Zfand4;zfand4
ENSDARG00000016470;anxa5b;Anxa5;anxa5b
ENSDARG00000009196;anxa3a;Anxa3;anxa3a
ENSDARG00000060679;kdm1a;Kdm1a;kdm1a
ENSDARG00000020054;aox6;Aox4;aox6
ENSDARG00000071475;aox5;Aox3;aox5
ENSDARG00000059279;tfap2a;Tfap2a;tfap2a
ENSDARG00000012667;tfap2b;Tfap2b;tfap2b
ENSDARG00000033899;ap2m1b;Ap2m1;ap2m1b
ENSDARG00000103923;tfap4;Tfap4;tfap4
ENSDARG00000013726;ap4b1;Ap4b1;ap4b1
ENSDARG00000074328;apba1b;Apba1;apba1b
ENSDARG00000060639;apba2b;Apba2;apba2b
ENSDARG00000039256;spega;Speg;spega
ENSDARG00000009350;atg3;Atg3;atg3
ENSDARG00000052104;atg4b;Atg4b;atg4b
ENSDARG00000044373;atg4c;Atg4c;atg4c
ENSDARG00000023396;atg5;Atg5;atg5
ENSDARG00000033597;api5;Api5;api5
ENSDARG00000070485;cenps;Cenps;apitd1
ENSDARG00000021225;prkci;Prkci;prkci
ENSDARG00000098368;aplp1;Aplp1;aplp1
ENSDARG00000018881;apobec2a;Apobec2;apobec2a
ENSDARG00000012076;apoa1a;Apoa1;apoa1a
ENSDARG00000040298;apoa4b.1;Apoa4;apoa4b.1
ENSDARG00000042780;apoba;Apob;apoba
ENSDARG00000022767;apobb.1;Apob;apobb.1
ENSDARG00000092170;apoc1;Apoc1;apoc1
ENSDARG00000060345;apoda.1;Apod;apoda.1
ENSDARG00000040295;apoeb;Apoe;apoeb
ENSDARG00000102004;apoea;Apoe;apoea
ENSDARG00000070074;lrp8;Lrp8;lrp8
ENSDARG00000026444;apoob;Apoo;apoob
ENSDARG00000092473;coa8;Coa8;apopt1
ENSDARG00000040076;pycard;Pycard;pycard
ENSDARG00000104279;appa;App;appa
ENSDARG00000011301;nae1;Nae1;nae1
ENSDARG00000091556;tnfsf13;Tnfsf13;tnfsf13
ENSDARG00000037285;mipa;Mip;mipa
ENSDARG00000013963;mipb;Mip;mipb
ENSDARG00000100555;aqp11;Aqp11;aqp11
ENSDARG00000023713;aqp1a.1;Aqp1;aqp1a.1
ENSDARG00000091027;aqp1a.2;Aqp1;aqp1a.2
ENSDARG00000069518;aqp3b;Aqp3;aqp3b
ENSDARG00000045141;aqp8a.1;Aqp8;aqp8a.1
ENSDARG00000071592;aqp8a.2;Aqp8;aqp8a.2
ENSDARG00000053480;aqp9b;Aqp9;aqp9b
ENSDARG00000041348;cyp19a1a;Cyp19a1;cyp19a1a
ENSDARG00000067976;ar;Ar;ar
ENSDARG00000043905;rnf14;Rnf14;rnf14
ENSDARG00000102362;slc25a12;Slc25a12;slc25a12
ENSDARG00000051783;rplp0;Rplp0;rplp0
ENSDARG00000002792;arcn1a;Arcn1;arcn1a
ENSDARG00000031214;arcn1b;Arcn1;arcn1b
ENSDARG00000071060;naa10;Naa11;naa10
ENSDARG00000056582;arf2b;Map3k14;map3k14b
ENSDARG00000016393;arf2b;Map3k14;arf2b
ENSDARG00000014763;arf2a;Arf2;arf2a
ENSDARG00000036998;arf3b;Arf3;arf3b
ENSDARG00000052928;arf6a;Arf6;arf6b
ENSDARG00000031848;pparg;Pparg;pparg
ENSDARG00000076801;arap3;Arap3;arap3
ENSDARG00000058567;avp;Avp;avp
ENSDARG00000019223;arglu1a;Arglu1;arglu1a
ENSDARG00000094673;rhoab;Rhoa;rhoab
ENSDARG00000007396;rnd3b;Rnd3;rnd3b
ENSDARG00000076799;rnd3a;Rnd3;rnd3a
ENSDARG00000026482;arhgap12b;Arhgap12;arhgap12b
ENSDARG00000026840;arhgap23b;Arhgap23;arhgap23b
ENSDARG00000017748;arhgap29b;Arhgap29;arhgap29b
ENSDARG00000062577;arhgap35a;Arhgap35;arhgap35a
ENSDARG00000060297;arhgap35b;Arhgap35;arhgap35b
ENSDARG00000059672;arhgap36;Arhgap36;arhgap6
ENSDARG00000011157;arhgef18a;Arhgef18;arhgef18a
ENSDARG00000060415;arhgef28a;Arhgef28;arhgef28
ENSDARG00000002463;arhgef37;Arhgef37;arhgef37
ENSDARG00000073848;arhgef7b;Arhgef7;arhgef7b
ENSDARG00000078624;arhgef9b;Arhgef9;arhgef9b
ENSDARG00000070735;rnd2;Rnd2;rnd2
ENSDARG00000030547;rnd1a;Rnd1;rnd1a
ENSDARG00000090656;tomm20a;Arid4b;tomm20a
ENSDARG00000103163;tomm20a;Arid4b;tomm20a
ENSDARG00000007406;phox2a;Phox2a;phox2a
ENSDARG00000006915;arl8ba;Arl8b;arl8ba
ENSDARG00000076040;arl15a;Arl15;arl15a
ENSDARG00000012763;arl13b;Arl13b;arl13b
ENSDARG00000071409;arl3b;Arl3;arl3
ENSDARG00000033182;arl4ab;Arl4a;arl4ab
ENSDARG00000099918;arl4aa;Arl4a;arl4aa
ENSDARG00000054578;arl6ip1;Arl6ip1;arl6ip1
ENSDARG00000057719;atl2;Atl2;atl2
ENSDARG00000077044;arl6ip5a;Arl6ip5;arl6ip5a
ENSDARG00000016238;arl6ip5b;Arl6ip5;arl6ip5b
ENSDARG00000094709;arl8;Arl5b;arl8
ENSDARG00000055128;odad2;Odad2;armc4
ENSDARG00000021855;arnt;Arnt;arnt
ENSDARG00000103697;arnt2;Arnt2;arnt2
ENSDARG00000006791;bmal1a;Bmal1;arntl1a
ENSDARG00000035732;bmal1b;Bmal1;arntl1b
ENSDARG00000041381;bmal2;Bmal2;arntl2
ENSDARG00000098360;cyp19a1b;Cyp19a1;cyp19a1b
ENSDARG00000016494;ddc;Ddc;ddc
ENSDARG00000039142;arpc5a;Arpc5;arpc5a
ENSDARG00000041720;arpc5la;Arpc5l;arpc5la
ENSDARG00000032532;arpp19a;Arpp19;arpp19a
ENSDARG00000098475;arr3b;Arr3;arr3b
ENSDARG00000056511;arr3a;Arr3;arr3a
ENSDARG00000011545;arrb2b;Arrb2;arrb2b
ENSDARG00000039215;arrb2a;Arrb2;arrb2a
ENSDARG00000043241;arrb1;Arrb1;arrb1
ENSDARG00000068148;arrdc1a;Arrdc1;arrdc1a
ENSDARG00000052690;arrdc3a;Arrdc3;arrdc3a
ENSDARG00000012610;saga;Sag;saga
ENSDARG00000038378;sagb;Sag;sagb
ENSDARG00000017762;srrt;Srrt;srrt
ENSDARG00000058011;arxa;Arx;arxa
ENSDARG00000037091;asah1a;Asah1;asah1a
ENSDARG00000039729;asap1b;Asap1;asap1b
ENSDARG00000017086;asb12a;Asb12;asb12a
ENSDARG00000079698;asb13a.1;Asb13;asb13a.1
ENSDARG00000087741;asb14b;Asb14;asb14b
ENSDARG00000043713;asf1bb;Asf1a;asf1bb
ENSDARG00000003797;asb2a.1;Asb2;asb2a.1
ENSDARG00000053222;asb5b;Asb5;asb5b
ENSDARG00000014916;slc10a2;Slc10a2;slc10a2
ENSDARG00000101037;asf1ba;Asf1a;asf1ba
ENSDARG00000095963;asgr1a;Asgr2;si:ch73-361h17.1
ENSDARG00000038386;ascl1a;Ascl1;ascl1a
ENSDARG00000101628;ascl1b;Ascl2;ascl1b
ENSDARG00000009702;ascl1b;Ascl2;ascl1b
ENSDARG00000010583;pard3ab;Pard3;pard3ab
ENSDARG00000077858;asip1;a;asip1
ENSDARG00000005416;map3k5;Map3k5;map3k5
ENSDARG00000045023;lhfpl5a;Lhfpl5;lhfpl5a
ENSDARG00000018190;get3;Get3;asna1
ENSDARG00000002192;aspn;Aspn;aspn
ENSDARG00000009136;tp53bp2a;Trp53bp2;tp53bp2a
ENSDARG00000054858;tp53bp2b;Trp53bp2;tp53bp2b
ENSDARG00000014891;robo2;Robo2;robo2
ENSDARG00000070132;aste1a;Aste1;aste1a
ENSDARG00000057728;slc17a8;Slc17a8;slc17a8
ENSDARG00000011764;ints13;Ints13;asun
ENSDARG00000056609;atad1b;Atad1;atad1b
ENSDARG00000086848;atad3;Atad3a;atad3
ENSDARG00000025615;prr15la;Prr15l;prr15la
ENSDARG00000029308;prr15lb;Prr15l;prr15lb
ENSDARG00000052975;ubqln4;Ubqln4;ubqln4
ENSDARG00000036775;dtd2;Dtd2;dtd2
ENSDARG00000023903;atf2;Atf2;atf2
ENSDARG00000038141;atf4b;Atf4;atf4b
ENSDARG00000089390;pnpla2;Pnpla2;pnpla2
ENSDARG00000055294;atoh1a;Atoh1;atoh1a
ENSDARG00000069552;atoh7;Atoh7;atoh7
ENSDARG00000014311;pgghg;Pgghg;pgghg
ENSDARG00000031015;dtna;Dtna;dtna
ENSDARG00000040008;neurod6a;Neurod6;neurod6a
ENSDARG00000020794;neurod6b;Neurod6;neurod6b
ENSDARG00000016951;neurog3;Neurog3;neurog3
ENSDARG00000029931;atp13a1;Atp13a1;atp13a1
ENSDARG00000002791;atp1a1a.1;Atp1a1;atp1a1a.2
ENSDARG00000099203;atp1b2a;Atp1b2;atp1b2a
ENSDARG00000015790;atp1b3a;Atp1b3;atp1b3a
ENSDARG00000029439;atp2a2a;Atp2a2;atp2a2a
ENSDARG00000043474;atp2b3a;Atp2b3;atp2b3a
ENSDARG00000010149;atp5fa1;Atp5f1a;atp5a1
ENSDARG00000070083;atp5f1b;Atp5f1b;atp5b
ENSDARG00000045514;atp5f1c;Atp5f1c;atp5c1
ENSDARG00000019404;atp5f1d;Atp5f1d;atp5d
ENSDARG00000095897;atp5f1e;Atp5f1e;atp5e
ENSDARG00000011553;atp5pb;Atp5pb;atp5f1
ENSDARG00000009447;atp5mc3b;Atp5mc3;atp5g3b
ENSDARG00000056008;atp5mc1;Atp5mc1;atp5g1
ENSDARG00000017775;atp5mc3a;Atp5mc3;atp5g3a
ENSDARG00000098355;atp5pd;Atp5pd;atp5h
ENSDARG00000068940;atp5meb;Atp5me;atp5ib
ENSDARG00000078113;atp5mea;Atp5me;atp5ia
ENSDARG00000014313;atp5pf;Atp5pf;atp5j
ENSDARG00000037867;atp5mf;Atp5mf;atp5j2
ENSDARG00000092873;atp5mj;Atp5mj;zgc:193541
